name	@lat	@lon
Wiązów	50.8138794	17.2017238
Toszek	50.4551063	18.5180604
Szklarska Poręba	50.8268011	15.5221261
Polanica-Zdrój	50.4079276	16.5107431
Świeradów-Zdrój	50.9093388	15.3332153
Świebodzice	50.8595730	16.3196056
Świdnica	50.8424835	16.4870549
Strzelin	50.7809200	17.0683947
Strzeleczki	50.4594894	17.8547780
Strzelce Opolskie	50.5109033	18.3004547
Strzegom	50.9601066	16.3462134
Stronie Śląskie	50.2916337	16.8736919
Sośnicowice	50.2722844	18.5298588
Ustroń	49.7181505	18.8028338
Strumień	49.9171995	18.7634908
Pszczyna	49.9778328	18.9425124
Zakliczyn	49.8564352	20.8086652
Zagórz	49.5098822	22.2632894
Wojnicz	49.9573496	20.8364048
Wieliczka	49.9823773	20.0602114
Tyczyn	49.9637919	22.0336719
Tuchów	49.8952190	21.0538362
Szczawnica	49.4266299	20.4761439
Strzyżów	49.8702087	21.7856291
Stary Sącz	49.5640268	20.6366235
Oborniki	52.6455252	16.8099756
Wągrowiec	52.8071754	17.1973241
Maków Mazowiecki	52.8656780	21.1012240
Sucha Beskidzka	49.7407900	19.5905975
Piastów	52.1812559	20.8415937
Brzostek	49.8784697	21.4118650
Sanok	49.5609053	22.2070280
Lesko	49.4689014	22.3303816
Dukla	49.5563600	21.6847523
Nowe Miasto	52.6563159	20.6307362
Ciechanów	52.8819798	20.6191479
Kluczbork	50.9730701	18.2140089
Żnin	52.8484620	17.7218791
Brzeziny	51.8004949	19.7517694
Brodnica	53.2580920	19.3993626
Kikół	52.9123420	19.1203393
Jarosław	50.0159029	22.6796573
Drzewica	51.4508384	20.4773617
Barlinek	52.9920762	15.2166391
Malbork	54.0358356	19.0368496
Lubliniec	50.6690160	18.6825574
Swarzędz	52.4103728	17.0771038
Nowy Targ	49.4818229	20.0305410
Gniezno	52.5359736	17.5958890
Bogatynia	50.9077147	14.9539185
Krasnystaw	50.9844757	23.1635704
Limanowa	49.7061713	20.4217266
Inowrocław	52.7952408	18.2595624
Mogilno	52.6573410	17.9500677
Skała	50.2303769	19.8535370
Wolbrom	50.3848386	19.7598844
Września	52.3250694	17.5652282
Skoki	52.6725926	17.1531343
Lędziny	50.1379295	19.1315264
Ozorków	51.9636101	19.2918111
Hajnówka	52.7365783	23.5878728
Bochnia	49.9693563	20.4305410
Łęczyca	52.0593858	19.2016434
Ozimek	50.6789196	18.2125227
Czarnków	52.9050335	16.5639572
Lubin	51.3974465	16.2051275
Piła	53.1511324	16.7380343
Kędzierzyn-Koźle	50.3448836	18.2109594
Starachowice	51.0518865	21.0761377
